Platform Admin, Administracion de Plataformas
Platform, Plataforma
Platform Account, Cuenta de Plataforma
Profile, Perfil
Platform Profile, Perfil de Plataforma
Platform Name, Nombre de Plataforma
Profile Qty, Cantidad de Perfiles
Max Profiles Qty, Cantidad Maxima de Perfiles
Price Profile Rules, Reglas de Precios de Perfiles
Available Profiles, Perfiles Disponibles
This platform account hasn't available profile, Esta cuenta de plataforma no tiene perfiles disponibles
This username already exist in that platform, Este usuario ya existe en esa plataforma
Reports, Reportes
Next Due Platform Account, Proximos Vencimientos de Cuentas
Next Due Profile, Proximos Perfiles a Vencer
Due Days, Dias de Vencimiento

